gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS21585,,,IS3 family transposase,,
ATU_RS21590,,,IS3-like element ISAtu5 family transposase,transposase activity|0004803||IEA,DNA transposition|0006313||IEA
ATU_RS21595,,,integrase core domain-containing protein,,DNA integration|0015074||IEA
ATU_RS26940,,,rhamnan synthesis F family protein,,
ATU_RS21605,,,acyltransferase,acyltransferase activity,
ATU_RS21610,,,methyltransferase domain-containing protein,,
ATU_RS21615,,,glycosyltransferase,glycosyltransferase activity|0016757||IEA,
ATU_RS21620,,,NAD(P)-dependent oxidoreductase,catalytic activity|0003824||IEA,
ATU_RS21625,,,glycosyltransferase,,
ATU_RS21630,,,glycosyltransferase family 2 protein,glycosyltransferase activity|0016757||IEA,
ATU_RS21635,rfbA,,glucose-1-phosphate thymidylyltransferase RfbA,glucose-1-phosphate thymidylyltransferase activity|0008879||IEA,O antigen biosynthetic process|0009243||IEA
ATU_RS21640,rfbD,,dTDP-4-dehydrorhamnose reductase,dTDP-4-dehydrorhamnose reductase activity|0008831||IEA,O antigen biosynthetic process|0009243||IEA
ATU_RS21645,rfbB,,dTDP-glucose 4,dTDP-glucose 4,O antigen biosynthetic process|0009243||IEA
ATU_RS21650,rfbC,,dTDP-4-dehydrorhamnose 3,dTDP-4-dehydrorhamnose 3,O antigen biosynthetic process|0009243||IEA
ATU_RS21655,,,ATP-dependent helicase,DNA binding|0003677||IEA,
ATU_RS21660,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21665,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21670,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21675,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS21680,,,FadR/GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS21685,,,mannonate dehydratase,mannonate dehydratase activity|0008927||IEA,glucuronate catabolic process|0006064||IEA
ATU_RS21690,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21695,,,hypothetical protein,,
ATU_RS21700,,,EAL domain-containing protein,,
ATU_RS21705,,,SDR family oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS21710,,,hypothetical protein,,
ATU_RS21715,,,Ku protein,DNA end binding|0045027||IEA,double-strand break repair via nonhomologous end joining|0006303||IEA
ATU_RS21720,ligD,,DNA ligase D,,double-strand break repair via nonhomologous end joining|0006303||IEA
ATU_RS21725,,,inorganic phosphate transporter,,phosphate ion transport|0006817||IEA
ATU_RS21730,,,DUF47 domain-containing protein,,
ATU_RS21735,,,NUDIX hydrolase,,
ATU_RS21740,,,efflux RND transporter permease subunit,transmembrane transporter activity|0022857||IEA,
ATU_RS21745,,,efflux RND transporter periplasmic adaptor subunit,,
ATU_RS21750,,,response regulator transcription factor,DNA binding|0003677||IEA,phosphorelay signal transduction system|0000160||IEA
ATU_RS21755,,,HAMP domain-containing sensor histidine kinase,phosphorelay response regulator activity|0000156||IEA,signal transduction|0007165||IEA
ATU_RS21760,,,DUF3313 domain-containing protein,,
ATU_RS21765,,,hydrogen peroxide-inducible genes activator,,
ATU_RS21770,katG,,catalase/peroxidase HPI,catalase activity|0004096||IEA,response to oxidative stress|0006979||IEA
ATU_RS26595,,,hypothetical protein,,
ATU_RS21775,,,AraC family transcriptional regulator,sequence-specific DNA binding|0043565||IEA,
ATU_RS21780,,,aldehyde dehydrogenase,,
ATU_RS21785,,,LysR family transcriptional regulator,,
ATU_RS21790,choX,,choline ABC transporter substrate-binding protein,choline transmembrane transporter activity|0015220||IEA,choline transport|0015871||IEA
ATU_RS21795,betC,,choline-sulfatase,sulfuric ester hydrolase activity|0008484||IEA,
ATU_RS21800,,,carbohydrate kinase family protein,,
ATU_RS21805,ugpC,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21810,argH,,argininosuccinate lyase,argininosuccinate lyase activity|0004056||IEA,arginine biosynthetic process via ornithine|0042450||IEA
ATU_RS21815,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS21820,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21825,,,extracellular solute-binding protein,,
ATU_RS21830,,,ROK family transcriptional regulator,,
ATU_RS21835,,,PIG-L family deacetylase,deacetylase activity|0019213||IEA,
ATU_RS21840,,,DMT family transporter,transporter activity|0005215||IEA,transmembrane transport|0055085||IEA
ATU_RS21845,,,hypothetical protein,,
ATU_RS21850,,,AraC family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
